Time,Electric Degrade,Electricity Availability,Communications Function,IT Function,Healthcare Function,Transportation Function,Emergency Services Functionality,Critical Manufacturing Functionality,Water Functionality,
550,0.2,20,100,100,100,91.69991051,100,92.19901531,100,
551,0.2,20,100,100,100,91.63673664,100,92.13584143,100,
552,0.2,20,100,100,100,91.51842972,100,92.01753451,100,
553,0.2,20,100,100,100,91.40884387,100,91.90794867,100,
554,0.2,20,100,100,100,91.31930441,100,91.81840921,100,
555,0.2,20,100,100,100,91.08212466,100,91.58122945,100,
556,0.2,20,100,100,100,90.91841644,100,91.41752124,100,
557,0.2,20,100,100,100,90.84354118,100,91.34264598,100,
558,0.2,20,100,100,100,90.77275861,100,91.27186341,100,
559,0.2,20,100,100,100,90.72675301,100,91.2258578,100,
560,0.2,20,100,100,100,90.65183197,100,91.15093677,100,
561,0.2,20,100,100,100,90.46218714,100,90.96129194,100,
562,0.2,20,100,100,100,90.29640501,100,90.79550981,100,
563,0.2,20,100,100,100,90.20075358,100,90.69985837,100,
564,0.2,20,100,100,100,90.0967719,100,90.5958767,100,
565,0.2,20,100,100,100,90.03558259,100,90.53468738,100,
566,0.2,20,100,100,100,90.01308355,100,90.51218835,100,
567,0.2,20,100,100,100,89.97145474,100,90.47055954,100,
568,0.2,20,100,100,100,89.91569829,100,90.41480309,100,
569,0.2,20,100,100,100,89.84254173,100,90.34164653,100,
570,0.2,20,100,100,100,89.76777834,100,90.26688314,100,
571,0.2,20,100,100,100,89.66169133,100,90.16079612,100,
572,0.2,20,100,100,100,89.59717539,100,90.09628019,100,
573,0.2,20,100,100,100,89.49011729,100,89.98922209,100,
574,0.2,20,100,100,100,89.43313572,100,89.93224051,100,
575,0.2,20,100,100,100,89.41218385,100,89.91128865,100,
576,0.2,20,100,100,100,89.37937558,100,89.87848037,100,
577,0.2,20,100,100,100,89.30834043,100,89.80744523,100,
578,0.2,20,100,100,100,89.23983628,100,89.73894108,100,
579,0.2,20,100,100,100,89.21464762,100,89.71375241,100,
580,0.2,20,100,100,100,89.20538586,100,89.70449066,100,
581,0.2,20,100,100,100,89.14183509,100,89.64093989,100,
582,0.2,20,100,100,100,89.05800377,100,89.55710856,100,
583,0.2,20,100,100,100,88.9689352,100,89.46804,100,
584,0.2,20,100,100,100,88.92534716,100,89.42445195,100,
585,0.2,20,100,100,100,88.90932003,100,89.40842483,100,
586,0.2,20,100,100,100,88.80650615,100,89.30561094,100,
587,0.2,20,100,100,100,88.72422285,100,89.22332765,100,
588,0.2,20,100,100,100,88.58319574,100,89.08230054,100,
589,0.2,20,100,100,100,88.53059069,100,89.02969549,100,
590,0.2,20,100,100,100,88.51124806,100,89.01035285,100,
